# V    B-V
15.474 0.856
15.562 0.849
15.541 0.845
14.199 0.666
14.169 0.622
15.315 0.810
15.272 0.779
16.369 1.030
16.330 1.023
15.771 0.896
15.769 0.878
15.094 0.721
15.056 0.749
15.750 0.981
15.741 1.002
15.997 0.780
16.025 0.772
14.997 0.741
14.998 0.750
14.994 0.746
14.562 0.862
14.557 0.874
14.564 0.861
14.823 0.698
14.819 0.732
14.824 0.721
14.742 0.740
14.636 0.678
14.626 0.687
14.630 0.675
15.586 0.869
15.609 0.850
15.599 0.804
15.186 0.762
15.156 0.768
15.415 0.811
15.360 0.811
14.652 0.688
15.989 0.823
15.322 0.518
14.634 0.747
14.792 0.719
14.787 0.723
15.011 0.756
15.021 0.758
15.830 0.801
15.774 0.934
15.777 0.911
16.436 1.211
14.971 0.750
15.611 0.547
14.477 0.658
14.581 0.648
15.798 0.841
15.217 0.813
14.281 0.587
12.313 0.989
14.148 0.639
14.760 0.689
14.280 0.893
14.261 0.630
14.548 0.625
14.975 0.701
14.264 0.699
9.980 1.100
14.760 0.705
14.465 0.760
15.276 0.618
14.996 0.734
15.353 0.802
14.823 0.736
15.009 0.799
14.426 1.029
15.532 0.667
15.234 0.617
14.535 0.673
16.190 1.030
16.185 1.000
15.930 0.882
16.144 0.988
17.680 1.530
17.653 1.527
17.483 1.288
17.707 1.392
16.240 1.000
16.224 1.004
16.291 0.908
16.231 1.014
16.248 1.000
16.802 1.073
17.940 1.470
21.240 1.060
17.660 1.410
17.716 1.398
18.033 1.452
17.380 1.300
18.081 1.052
17.149 1.394
17.105 1.391
19.070 1.200
18.943 1.370
19.450 1.680
16.470 1.150
16.501 1.081
16.414 1.320
16.373 1.148
19.500 1.580
21.180 0.440
20.350 0.700
19.510 0.510
19.281 0.628
18.176 1.237
18.013 1.346
18.000 1.440
19.186 1.438
18.314 1.677
17.470 1.352
17.532 1.263
19.194 0.698
18.651 1.621
19.187 1.525
18.305 0.897
18.454 0.805
15.090 0.760
17.776 0.803
17.820 0.780
16.732 1.132
14.500 0.757
17.570 1.306
17.733 1.358
17.315 1.139
17.289 1.114
16.341 1.056
16.152 0.976
16.724 1.093
16.719 1.103
17.176 1.239
17.078 1.318
17.801 1.234
17.768 1.183
18.124 1.480
18.225 1.753
18.725 0.871
18.638 1.030
18.389 0.935
18.502 0.670
17.739 0.812
16.424 1.212
16.352 1.259
18.470 1.025
17.430 1.284
17.292 1.253
17.426 1.248
17.959 1.362
16.698 1.173
18.736 0.663
18.756 0.872
16.475 0.717
17.587 1.059
18.083 0.864
18.030 1.011
18.231 1.469
18.249 1.460
16.981 1.280
17.026 1.214
17.773 0.659
17.810 0.609
17.303 1.401
13.780 1.266
17.099 1.244
17.089 1.238
16.452 1.070
16.436 1.078
16.593 1.117
16.659 1.113
17.427 0.884
17.198 1.018
17.641 1.164
16.527 0.530
17.118 0.625
17.148 0.580
19.020 -0.420
19.400 1.475
19.868 1.458
16.814 1.078
18.133 1.416
17.502 0.619
20.222 1.407
18.576 1.407
20.369 0.513
19.670 0.706
18.064 0.532
20.702 0.052
16.856 0.839
16.540 0.927
19.444 1.179
19.496 0.928
17.033 1.034
21.239 0.200
20.721 0.507
18.858 0.670
19.731 0.647
18.162 0.769
19.132 1.371
16.895 1.134
19.207 1.196
17.165 1.167
17.126 1.102
19.534 0.642
18.277 0.842
20.722 0.642
18.319 1.136
19.334 1.501
17.118 1.011
19.424 1.110
18.132 1.252
19.537 0.981
19.445 0.889
14.422 0.656
19.561 1.072
19.198 1.603
16.571 0.619
20.636 0.852
18.491 1.396
15.650 0.860
18.305 1.406
20.215 1.498
19.918 1.217
15.234 0.782
16.200 0.982
18.715 1.525
18.144 0.669
20.176 0.257
17.047 1.191
18.428 1.219
17.174 0.571
15.442 0.835
20.163 1.379
19.198 1.614
16.683 1.229
18.873 0.478
14.040 0.879
18.431 1.516
19.232 1.158
18.482 1.593
19.475 0.955
16.906 0.811
17.243 1.252
17.241 1.217
18.982 1.404
16.669 1.092
20.683 1.105
19.010 1.435
16.330 0.992
19.819 0.773
16.149 0.918
17.260 1.257
17.866 0.763
15.918 0.767
19.693 1.709
18.339 0.676
19.407 1.523
15.427 0.902
19.781 1.497
18.151 1.513
20.124 1.695
18.185 1.516
18.006 0.540
18.350 1.497
20.696 0.630
19.095 1.613
19.394 0.980
18.599 1.533
19.324 1.087
17.779 1.390
17.824 1.339
19.018 1.033
20.004 1.616
18.093 1.542
19.300 0.712
18.749 1.474
20.599 0.629
15.734 0.851
19.984 1.552
16.756 0.641
19.608 1.456
19.147 1.480
17.311 1.183
19.689 1.110
16.116 0.967
18.938 0.510
15.305 0.560
15.731 0.886
17.815 1.292
17.840 1.006
18.716 1.509
17.269 1.173
17.603 0.609
19.569 1.530
20.497 0.249
17.868 0.820
18.170 1.378
16.843 1.090
19.030 0.341
19.114 1.385
16.289 0.670
16.984 0.817
19.587 1.555
16.021 0.575
19.224 0.848
20.237 1.470
16.479 1.059
17.905 0.859
15.695 0.872
16.752 0.928
19.229 1.373
20.063 0.632
19.802 1.249
15.688 1.007
16.375 1.055
16.371 1.035
17.996 0.757
19.968 1.159
19.950 1.671
17.653 0.671
18.536 1.639
18.508 1.560
19.653 1.486
19.879 0.900
17.863 1.258
15.851 0.907
17.573 1.219
18.397 1.414
18.059 1.321
16.780 1.179
20.313 1.302
16.361 0.632
13.448 0.536
18.424 0.612
18.469 0.840
19.625 1.348
18.681 1.408
16.598 1.137
16.148 0.858
16.183 0.953
16.171 0.963
19.662 1.469
19.426 1.513
18.424 1.003
20.194 0.491
18.700 1.497
19.646 1.451
18.825 1.330
